,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
6921.,TOURISMAPP SOCIETA' A RESPONSABILITA' LIMITATA,IT12645710018,12645710018,TO1305904,12645710018,"STR REBAUDE, 21",Torino,10024,Piemonte,,,,,620100,11/02/2022,,Attiva,S.R.L.
6922.,FIDELIO MEDICAL S.R.L. O BREVEMENTE FIDELIO S.R.L.,IT12645970018,12645970018,TO1305422,12645970018,"CSO RE UMBERTO, 8",Torino,10121,Piemonte,,,,,721909,04/02/2022,,Attiva,S.R.L.
6923.,DEEP MONOLITH S.R.L.,IT12634910017,12634910017,TO1304881,12634910017,"VIA VAL DELLA TORRE, 25",Torino,10149,Piemonte,,,,,620100,31/01/2022,,Attiva,S.R.L.
6924.,HEQET THERAPEUTICS S.R.L.,IT12603150017,12603150017,TO1302737,12603150017,"VIA ETTORE DE SONNAZ, 19 - 10121 TO",Torino,10121,Piemonte,,,,,721100,23/12/2021,,Attiva,S.R.L.
6925.,NUTRITECHNOLAB S.R.L.,IT12601110013,12601110013,TO1302581,12601110013,"PZA CARLO FELICE, 7",Torino,10123,Piemonte,,,,,721909,15/12/2021,,Attiva,S.R.L.
6926.,ROUTE-IN SRLS,IT12600890011,12600890011,TO1302551,12600890011,"VLE STAZIONE, 12",Torino,10052,Piemonte,,,,,631200,13/12/2021,,Attiva,S.R.L. semplificata
6927.,ASTREA S.R.L.,IT12600000017,12600000017,TO1302450,12600000017,"CSO GIACOMO MATTEOTTI, 42",Torino,10121,Piemonte,,,,,329919,10/12/2021,,Attiva,S.R.L.
6928.,TO MOVE S.R.L.,IT12595720017,12595720017,TO1302011,12595720017,"CSO CASTELFIDARDO, 30",Torino,10129,Piemonte,,,,,309112,01/12/2021,,Attiva,S.R.L.
6929.,ASTOR SRL,IT12588570015,12588570015,TO1301509,12588570015,"CSO STATI UNITI, 39",Torino,10129,Piemonte,,,,,291000,10/11/2021,,Attiva,S.R.L.
6930.,OLTRECURA S.R.L. IN LIQUIDAZIONE,IT12586960010,12586960010,TO1301286,12586960010,"VIA GIOACCHINO QUARELLO, 15/A",Torino,10135,Piemonte,,,,,620100,12/11/2021,,In liquidazione,S.R.L.
6931.,PIPEIN S.R.L.,IT12586360013,12586360013,TO1301220,12586360013,"VIA CERNAIA, 24",Torino,10122,Piemonte,VIA GIUSEPPE GIACOSA 38,Torino,10125,PIEMONTE,721909,05/11/2021,,Attiva,S.R.L.
6932.,IDEAS S.R.L.S.,IT12583790014,12583790014,TO1301048,12583790014,"VIA SEVERINO DOPPI, 14",Torino,10095,Piemonte,,,,,139500,05/11/2021,,Attiva,S.R.L.
6933.,NOVA ARGILLA S.R.L. SOCIETA' BENEFIT,IT12577430015,12577430015,TO1300495,12577430015,"VIA VINCENZO VELA, 42",Torino,10128,Piemonte,,,,,233200,21/10/2021,,Attiva,S.R.L.
6934.,CITYZ S.R.L.,IT12533270018,12533270018,TO1299782,12533270018,"VIA ANGELO BROFFERIO, 11",Torino,10072,Piemonte,,,,,620909,07/10/2021,,Attiva,S.R.L.
6935.,KIOGO S.R.L.,IT12560190014,12560190014,TO1299260,12560190014,"VIA STEFANAT, 121",Torino,10078,Piemonte,,,,,324010,23/09/2021,,Attiva,S.R.L.
6936.,OMEGA-T S.R.L.,IT12554510011,12554510011,TO1299109,12554510011,"CSO FRANCESCO FERRUCCI, 77/9",Torino,10138,Piemonte,,,,,275100,15/09/2021,,Attiva,S.R.L.
6937.,REVERSA - SOCIETA' A RESPONSABILITA' LIMITATA O IN BREVE REVERSA S.R.L.,IT12543800010,12543800010,TO1297985,12543800010,"VIA ETTORE DE SONNAZ, 19",Torino,10121,Piemonte,,,,,016100,05/08/2021,,Attiva,S.R.L.
6938.,S.OPPORTUNITY S.R.L.,IT12537810017,12537810017,TO1297578,12537810017,"VIA ANDREA DORIA, 15",Torino,10123,Piemonte,,,,,631200,26/07/2021,,Attiva,S.R.L.
6939.,TWIPER S.R.L.,IT12528470011,12528470011,TO1296940,12528470011,"VIA CONTE OTTAVIO THAON REVEL, 16",Torino,10121,Piemonte,,,,,620909,02/07/2021,,Attiva,S.R.L.
6940.,H-CUBE S.R.L.,IT12521940010,12521940010,TO1296418,12521940010,"VIA OSASCO, 9",Torino,10141,Piemonte,,,,,620100,23/06/2021,,Attiva,S.R.L.
6941.,U-CARE MEDICAL S.R.L.,IT12521950019,12521950019,TO1296396,12521950019,"CSO CASTELFIDARDO, 30/A",Torino,10129,Piemonte,CORSO CASTELFIDARDO 30/A,Torino,10129,PIEMONTE,620100,22/06/2021,,Attiva,S.R.L.
6942.,HYPERTENNIS S.R.L.,IT12521860010,12521860010,TO1296190,12521860010,"VIA VINCENZO VELA, 42",Torino,10128,Piemonte,,,,,620100,18/06/2021,,Attiva,S.R.L.
6943.,CYBER WORLD & DIGITAL FORENSICS S.R.L.,IT12503620010,12503620010,TO1295026,12503620010,"VIA PIETRO MICCA, 15",Torino,10121,Piemonte,,,,,620100,19/05/2021,,Attiva,S.R.L.
6944.,INNO-ACTION S.R.L.,IT12496570016,12496570016,TO1294318,12496570016,"VIA GIACOMO BOVE, 16",Torino,10129,Piemonte,,,,,642000,06/05/2021,,Attiva,S.R.L.
6945.,SNODO S.R.L.,IT12495290012,12495290012,TO1294238,12495290012,VIA ANTONIO GIUSEPPE IGNAZIO BERTOL,Torino,10121,Piemonte,,,,,631200,05/05/2021,,Attiva,S.R.L.
6946.,A.D.A. S.R.L.,IT12480960017,12480960017,TO1293265,12480960017,"CSO GALILEO FERRARIS, 71",Torino,10128,Piemonte,CORSO GALILEO FERRARIS 71,Torino,10128,PIEMONTE,721100,13/04/2021,,Attiva,S.R.L.
6947.,ELTAT S.R.L.,IT12474290017,12474290017,TO1292567,12474290017,"CSO GIACOMO MATTEOTTI, 42",Torino,10121,Piemonte,CORSO GIACOMO MATTEOTTI 42,Torino,10121,PIEMONTE,293209,01/04/2021,,Attiva,S.R.L.
6948.,EXSENCE SRL,IT12470780011,12470780011,TO1292349,12470780011,"CSO BRESCIA, 9",Torino,10152,Piemonte,CORSO BRESCIA 9,Torino,10152,PIEMONTE,324010,25/03/2021,,Attiva,S.R.L.
6949.,LITESIGHT S.R.L.,IT12429320018,12429320018,TO1289555,12429320018,"VIA VAL PELLICE, 72",Torino,10060,Piemonte,,,,,721909,27/01/2021,,Attiva,S.R.L.
6950.,RESALIS THERAPEUTICS S.R.L.,IT12433250011,12433250011,TO1289353,12433250011,"VIA ETTORE DE SONNAZ, 19",Torino,10121,Piemonte,,,,,721100,28/01/2021,,Attiva,S.R.L.
6951.,H2 MOTION S.R.L.,IT12412150018,12412150018,TO1288358,12412150018,"CSO DUCA DEGLI ABRUZZI, 3",Torino,10128,Piemonte,,,,,291000,08/01/2021,,Attiva,S.R.L.
6952.,WORKED WIRE S.R.L.,IT12401060012,12401060012,TO1287288,12401060012,"VIA PIETRO MICCA, 20",Torino,10122,Piemonte,,,,,261109,18/12/2020,,Attiva,S.R.L.
6953.,MOBYFORALL S.R.L.,IT12398240015,12398240015,TO1287237,12398240015,"CSO CASTELFIDARDO, 30/A",Torino,10129,Piemonte,,,,,620100,16/12/2020,,Attiva,S.R.L.
6954.,SPORT HORIZON HOLDING S.P.A.,IT12398920012,12398920012,TO1287150,12398920012,"CSO RE UMBERTO, 65",Torino,10128,Piemonte,CORSO RE UMBERTO 65,Torino,10128,PIEMONTE,620100,17/12/2020,,Attiva,S.P.A.
6955.,DRUG DISCOVERY AND CLINIC S.R.L.,IT12387040012,12387040012,TO1286290,12387040012,"VIA GIOACCHINO QUARELLO, 15/A",Torino,10135,Piemonte,,,,,721909,13/11/2020,,Attiva,S.R.L.
6956.,THANKS FINANCE S.R.L. IN LIQUIDAZIONE,IT12381740013,12381740013,TO1285680,12381740013,"VIA GIOACCHINO QUARELLO, 15/A",Torino,10135,Piemonte,VIA GIOACCHINO QUARELLO 15/A,Torino,10135,PIEMONTE,620100,04/11/2020,,In liquidazione,S.R.L.
6957.,COLUMN S.R.L.,IT12372170014,12372170014,TO1284936,12372170014,"VIA VINCENZO VELA, 42",Torino,10128,Piemonte,VIA VINCENZO VELA 42,Torino,10128,PIEMONTE,620100,09/10/2020,,Attiva,S.R.L.
6958.,REP S.R.L.,IT12369890012,12369890012,TO1284836,12369890012,"VIA LUIGI CIBRARIO, 13",Torino,10143,Piemonte,,,,,711220,12/10/2020,,Attiva,S.R.L.
6959.,EVA S.R.L.,IT12360800010,12360800010,TO1284263,12360800010,"CSO STATI UNITI, 41",Torino,10129,Piemonte,,,,,620200,29/09/2020,,Attiva,S.R.L.
6960.,CODE R.T.D. S.R.L.,IT12344560011,12344560011,TO1283005,12344560011,"CSO CASTELFIDARDO, 30/A",Torino,10129,Piemonte,,,,,620100,04/08/2020,,Attiva,S.R.L.
6961.,AUTOCERTA ITALIA S.R.L.,IT12329090018,12329090018,TO1281871,12329090018,"CSO MASSIMO D'AZEGLIO, 19",Torino,10126,Piemonte,,,,,620100,13/07/2020,,Attiva,S.R.L.
6962.,CIRCOLARE S.R.L.,IT12295840016,12295840016,TO1279559,12295840016,"VIA LEGNANO, 27",Torino,10128,Piemonte,VIA LEGNANO 27,Torino,10128,PIEMONTE,721909,04/05/2020,,Attiva,S.R.L.
6963.,NEWTI SRL,IT12262220010,12262220010,TO1278821,12262220010,"VIA ALFONSO LAMARMORA, 31",Torino,10128,Piemonte,,,,,271100,21/02/2020,,Attiva,S.R.L.
6964.,WINDTIME S.R.L.,IT12283200017,12283200017,TO1278411,12283200017,"VIA LUIGI EINAUDI, 29",Torino,10024,Piemonte,,,,,721909,04/03/2020,,Attiva,S.R.L.
6965.,SMART ADVISORY APP S.R.L.,IT12265380019,12265380019,TO1277109,12265380019,"VIA GIOACCHINO QUARELLO, 15/A",Torino,10135,Piemonte,,,,,620200,13/02/2020,,Attiva,S.R.L.
6966.,WHERE I GO S.R.L.,IT12243820011,12243820011,TO1275391,12243820011,"CSO CASTELFIDARDO, 30/A",Torino,10129,Piemonte,,,,,620100,17/01/2020,,Attiva,S.R.L.
6967.,SIMBIOTECH S.R.L. IN LIQUIDAZIONE,IT12210420019,12210420019,TO1273006,12210420019,"VIA MELCHIORRE GIOIA, 11",Torino,10121,Piemonte,VIA MELCHIORRE GIOIA 11,Torino,10121,PIEMONTE,620100,19/11/2019,,In liquidazione,S.R.L.
6968.,T-LAB BLOCKCHAIN SOCIETA' A RESPONSABILITA' LIMITATA,IT12142380018,12142380018,TO1268035,12142380018,"CSO PRINCIPE ODDONE, 16",Torino,10122,Piemonte,,,,,620200,25/06/2019,,Attiva,S.R.L.
6969.,CRIO SOLUTIONS S.R.L.,IT12092860019,12092860019,TO1263912,12092860019,"CSO DUCA DEGLI ABRUZZI, 53",Torino,10129,Piemonte,CORSO DUCA DEGLI ABRUZZI 53,Torino,10129,PIEMONTE,620909,25/03/2019,,Attiva,S.R.L.
6970.,BEEFMASTER SOCIETA' AGRICOLA INNOVATIVA S.R.L.,IT12859130960,12859130960,TN0247293,12859130960," SOLTERI, 74",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,014200,06/03/2023,,Attiva,S.R.L.
6971.,EQUINOXIA S.R.L.,IT02725070227,02725070227,TN0245386,02725070227,"VIA LINZ, 177",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,272000,15/09/2023,,Attiva,S.R.L.
6972.,ALGORTEC S.R.L.,IT02720840228,02720840228,TN0245109,02720840228," FELTI, 38",Trento,38015,Trentino-Alto Adige/Südtirol,,,,,721909,25/07/2023,,Attiva,S.R.L.
6973.,CARBON PLANET S.R.L.,IT07277880485,07277880485,TN0244914,07277880485,"VIA AI BOLLERI, 22/A",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,620100,09/05/2023,,Attiva,S.R.L.
6974.,FAULTBUSTER - SOCIETA' A RESPONSABILITA' LIMITATA,IT02712330220,02712330220,TN0244439,02712330220,"STR DELLE NOVALINE, 11",Trento,38123,Trentino-Alto Adige/Südtirol,,,,,620100,03/05/2023,,Attiva,S.R.L.
6975.,TEAM HERO S.R.L.,IT02704800222,02704800222,TN0243934,02704800222,"VIA DELLA PAUSA, 25",Trento,38012,Trentino-Alto Adige/Südtirol,,,,,620100,02/03/2023,,Attiva,S.R.L.
6976.,RAILEVO S.R.L.,IT02703850228,02703850228,TN0243877,02703850228," ARTIGIANALE, 1",Trento,38089,Trentino-Alto Adige/Südtirol,,,,,721909,27/02/2023,,Attiva,S.R.L.
6977.,SPORTID S.R.L.,IT02703610226,02703610226,TN0243870,02703610226,"CSO AUSUGUM, 104",Trento,38051,Trentino-Alto Adige/Südtirol,,,,,620100,20/02/2023,,Attiva,S.R.L.
6978.,ONEBRA S.R.L.,IT02680560220,02680560220,TN0242170,02680560220,"VIA DEL BRENNERO, 97",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,620100,27/07/2022,,Attiva,S.R.L.
6979.,YORE S.R.L.,IT02673870222,02673870222,TN0241643,02673870222,"VIA DAMIANO CHIESA, 14",Trento,38068,Trentino-Alto Adige/Südtirol,,,,,721100,16/05/2022,,Attiva,S.R.L.
6980.,B2 LABTECH SRL,IT02667370221,02667370221,TN0241200,02667370221,"VIA DELLA ROGGIA, 1",Trento,38068,Trentino-Alto Adige/Südtirol,,,,,620100,24/03/2022,,Attiva,S.R.L.
6981.,OVERSONIC BIOSCIENCE S.R.L. SOCIETA' BENEFIT,IT02663880223,02663880223,TN0241017,02663880223,"VIA FORTUNATO ZENI, 8 - PAD.47/48",Trento,38068,Trentino-Alto Adige/Südtirol,,,,,620100,28/02/2022,,Attiva,S.R.L.
6982.,JUSTINSHOP S.R.L.,IT02661780227,02661780227,TN0240763,02661780227,"VIA SANTA CATERINA, 45",Trento,38062,Trentino-Alto Adige/Südtirol,,,,,620100,16/02/2022,,Attiva,S.R.L.
6983.,VISIONBALANCE TECH SRL,IT02657100224,02657100224,TN0240529,02657100224,"VIA DON GIUSEPPE GRAZIOLI, 89",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,721909,21/01/2022,,Attiva,S.R.L.
6984.,BOOKELOT S.R.L.,IT02650750223,02650750223,TN0240105,02650750223,"VIA GORIZIA, 45",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,581100,16/12/2021,,Attiva,S.R.L.
6985.,PYROENERGY S.R.L.,IT02646740221,02646740221,TN0239771,02646740221,"VIA SAN FRANCESCO D'ASSISI, 10",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,721909,03/11/2021,,Attiva,S.R.L.
6986.,SECURITY EMBEDDED S.R.L.,IT02644870228,02644870228,TN0239619,02644870228,"VIA SAN FRANCESCO D'ASSISI, 10",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,620100,15/10/2021,,Attiva,S.R.L.
6987.,VENTEA S.R.L.,IT02634740225,02634740225,TN0239006,02634740225,"VIA SAN FRANCESCO D'ASSISI, 10",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,271100,02/07/2021,,Attiva,S.R.L.
6988.,LOCALSHOP24 SRL,IT02634090225,02634090225,TN0238834,02634090225,"PZA DELLA LIBERTA', 14",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,631200,07/06/2021,,Attiva,S.R.L.
6989.,EVOKIR SOCIETA' BENEFIT S.R.L.,IT04808480232,04808480232,TN0238714,04808480232,"VIA ROBERTO DA SANSEVERINO, 95",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,721100,23/03/2021,,Attiva,S.R.L.
6990.,JOINT CAPITAL INNOVATION S.R.L,IT04677080238,04677080238,TN0238698,04677080238,"VIA GIAMBATTISTA UNTERVEGER, 5",Trento,38122,Trentino-Alto Adige/Südtirol,,,,,620100,08/11/2019,,Attiva,S.R.L.
6991.,MOUNTAIN MAPS S.R.L.,IT02623370224,02623370224,TN0238116,02623370224,"VIA CANE', 47",Trento,38016,Trentino-Alto Adige/Südtirol,,,,,620100,26/03/2021,,Attiva,S.R.L.
6992.,NUB SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT02608230229,02608230229,TN0237036,02608230229,"STR DELLE CAMPAGNE, 39",Trento,38045,Trentino-Alto Adige/Südtirol,,,,,282993,18/12/2020,,Attiva,S.R.L. semplificata
6993.,ATLANTIDE SOCIETA' A RESPONSABILITA' LIMITATA,IT02607850225,02607850225,TN0237014,02607850225,"VIA DEL SERA', 5",Trento,38051,Trentino-Alto Adige/Südtirol,,,,,222909,11/12/2020,,Attiva,S.R.L.
6994.,NUTRAXIS S.R.L.,IT02607810229,02607810229,TN0236984,02607810229,"VIA CANTONE, 27",Trento,38010,Trentino-Alto Adige/Südtirol,,,,,620100,09/12/2020,,Attiva,S.R.L.
6995.,PROXMED S.R.L.,IT02596700225,02596700225,TN0236192,02596700225,"VIA DEL BRENNERO, 139",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,620100,04/08/2020,,Attiva,S.R.L.
6996.,HP ENERGY SRL,IT02568780221,02568780221,TN0234174,02568780221,"VIA DEL BRENNERO, 322",Trento,38121,Trentino-Alto Adige/Südtirol,,,,,721909,11/11/2019,,Attiva,S.R.L.
6997.,BOH LAB S.R.L,IT04656750231,04656750231,TN0233828,04656750231,"CSO AUSUGUM, 108",Trento,38051,Trentino-Alto Adige/Südtirol,,,,,412000,22/07/2019,,Attiva,S.R.L.
6998.,DELTA SPACE LEONIS S.R.L.,IT16148291004,16148291004,RM1638349,16148291004,"VIA DI CASAL BOCCONE, 256",Roma,00137,Lazio,VIA DI CASAL BOCCONE 256,Roma,00137,LAZIO,721909,20/04/2021,,Attiva,S.R.L.
6999.,BLOCKSHUB SRL,IT02132430675,02132430675,TE0206660,02132430675,"CSO ADRIATICO, 47",Teramo,64016,Abruzzo,,,,,620200,10/09/2022,,Attiva,S.R.L.
7000.,KULTO S.R.L.,IT02125820676,02125820676,TE0205621,02125820676,"CNT PIANCERRETO, SNC",Teramo,64035,Abruzzo,,,,,620200,12/05/2022,,Attiva,S.R.L.
7001.,SALESADVISOR360 S.R.L.,IT02117610671,02117610671,TE0204364,02117610671,"VIA DEI GAROFANI, 2",Teramo,64014,Abruzzo,,,,,620100,02/02/2022,,Attiva,S.R.L.
7002.,ARTRO' RESEARCH AND DEVELOPMENT S.R.L.,IT02088400672,02088400672,TE0200416,02088400672,"VLE CAMILLO BENSO CONTE DI CAVOUR,",Teramo,64100,Abruzzo,,,,,721100,14/01/2021,,Attiva,S.R.L.
7003.,"ALLBORA S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3",IT02061790677,02061790677,TE0175680,02061790677,"VIA COLLE DELLA PENNA, 8",Teramo,64020,Abruzzo,,,,,721909,12/12/2019,,Attiva,S.R.L.
7004.,REGROWTH S.R.L.S.,IT02059510673,02059510673,TE0175525,02059510673,"CNT SPECOLA, SNC",Teramo,64100,Abruzzo,,,,,620909,07/11/2019,,Attiva,S.R.L. semplificata
7005.,LORENZO NEL CUORE IMPRESA SOCIALE S.R.L.S.,IT02054150673,02054150673,TE0175116,02054150673,"VLE SANT'ANTONIO, 1",Teramo,64032,Abruzzo,,,,,869029,30/07/2019,,Attiva,S.R.L. semplificata
7006.,DIALECTIKA S.R.L.,IT05997730659,05997730659,SA0489643,05997730659,"PZA DELLA CONCORDIA, 28",Salerno,84123,Campania,,,,,479110,08/04/2021,,Attiva,S.R.L.
7007.,YOU' RE UP S.R.L. SOCIETA' BENEFIT,IT03384880732,03384880732,TA0212884,03384880732,"VIA GIUSEPPE MAZZINI, 48",Taranto,74028,Puglia,,,,,741010,01/09/2023,,Attiva,S.R.L.
7008.,GENOTOXIC S.R.L.,IT03383190737,03383190737,TA0212823,03383190737,"VIA EMILIA, 117",Taranto,74121,Puglia,,,,,721909,31/07/2023,,Attiva,S.R.L.
7009.,CRANIO TECH SOLUTIONS S.R.L.,IT03382090730,03382090730,TA0212715,03382090730,"VIA ANFITEATRO, 63",Taranto,74123,Puglia,,,,,266002,21/07/2023,,Attiva,S.R.L.
7010.,LOGON SOCIETA' COOPERATIVA,IT03380600738,03380600738,TA0212607,03380600738,"VIA TRATTURELLO DEL TARANTINO, 6",Taranto,74123,Puglia,,,,,265129,28/06/2023,,Attiva,S.C.A.R.L.P.A.
7011.,OPEN KREATIVE STUDIO S.R.L.,IT03372220735,03372220735,TA0211944,03372220735,"VIA ANGELO BERARDI, 89",Taranto,74123,Puglia,,,,,620200,12/04/2023,,Attiva,S.R.L.
7012.,TA01 SOLAR COMMUNITY S.R.L.,IT03356630735,03356630735,TA0210718,03356630735,"VLE DEGLI ULIVI, S.N.C.",Taranto,74020,Puglia,,,,,620909,22/11/2022,,Attiva,S.R.L.
7013.,DMA S.R.L. SOCIETA' BENEFIT,IT03310710730,03310710730,TA0207365,03310710730,"VIA LUCCI MARINI, 13/D",Taranto,74122,Puglia,,,,,631200,04/10/2021,,Attiva,S.R.L.
7014.,FYNE S.R.L.,IT03273410732,03273410732,TA0204719,03273410732,"VIA BERARDI, 8",Taranto,74123,Puglia,,,,,620100,16/11/2020,,Attiva,S.R.L.
7015.,FIRTECH S.R.L.,IT03273260731,03273260731,TA0204657,03273260731,"PZA SANDRO PERTINI, 5",Taranto,74123,Puglia,,,,,721909,06/11/2020,,Attiva,S.R.L.
7016.,3D MEDICAL SERVICES SRL,IT03248020731,03248020731,TA0203007,03248020731,"VIA DEGLI ULIVI, SNC",Taranto,74020,Puglia,,,,,325030,07/02/2020,,Attiva,S.R.L.
7017.,PRIME TUTOR S.R.L. SOCIETA' BENEFIT,IT16398191003,16398191003,RM1654160,16398191003,"VIA APPIA NUOVA, 165",Roma,00183,Lazio,,,,,620909,03/11/2021,,Attiva,S.R.L.
7018.,AGARIC LIFE SCIENCES S.R.L.,IT01852340098,01852340098,SV0229200,01852340098,"VIA DEL FORTINO, 2",Savona,17027,Liguria,,,,,721909,03/02/2022,,Attiva,S.R.L.
7019.,VISIO TECHNOLOGIES S.R.L.,IT01819980093,01819980093,SV0222228,01819980093,"CSO VITTORIO VENETO, 50",Savona,17100,Liguria,,,,,620100,06/08/2020,,Attiva,S.R.L.
7020.,CA.SA. S.R.L.,IT03005880905,03005880905,SS0222251,03005880905,"VLE COSTA SMERALDA, 78",Sassari,07021,Sardegna,,,,,283090,19/09/2024,,Attiva,S.R.L.
7021.,LIFEAMNIOS S.R.L.,IT02971870908,02971870908,SS0219493,02971870908,"SVC COSTA PALONI, 74",Sassari,07100,Sardegna,,,,,721100,21/11/2023,,Attiva,S.R.L.
7022.,NOX OCEANI INNOVABILITY S.R.L.,IT02950670907,02950670907,SS0217727,02950670907,VIA GIUSEPPE BONANNO,Sassari,07026,Sardegna,,,,,301200,12/04/2023,,Attiva,S.R.L.
7023.,BEIZMEN INDUSTRIES SRL,IT02932110907,02932110907,SS0216314,02932110907,"VIA FONDAZIONE ROCKFELLER, 67",Sassari,07041,Sardegna,,,,,721909,09/11/2022,,Attiva,S.R.L.
7024.,SAMAR SOCIETA' AGRICOLA SRL,IT02928480900,02928480900,SS0216082,02928480900,VIA RENZO MOSSA,Sassari,07100,Sardegna,,,,,721909,06/10/2022,,Attiva,S.R.L.
7025.,MASEMA EUROPA S.R.L.,IT02921570905,02921570905,SS0215461,02921570905, ZONA INDUSTRIALE PREDDA NIEDDA STR,Sassari,07100,Sardegna,,,,,620100,28/06/2022,,Attiva,S.R.L.
7026.,ANIMAL PROJECT SRL,IT02884990900,02884990900,SS0212557,02884990900,"VIA VINCENZO VELA, 95",Sassari,07026,Sardegna,VIA VINCENZO VELA 95,Sassari,07026,SARDEGNA,631200,05/10/2021,,Attiva,S.R.L.
7027.,UNBLENDED S.R.L.,IT02864050907,02864050907,SS0210710,02864050907,"VIA ROMA, 56",Sassari,07030,Sardegna,,,,,620100,25/03/2021,,Attiva,S.R.L.
7028.,ALERT-GENIUS S.R.L.,IT02840430900,02840430900,SS0208781,02840430900,"VIA GIUSEPPE MAZZINI, 87",Sassari,07041,Sardegna,VIA GIUSEPPE MAZZINI 87,Sassari,07041,SARDEGNA,263021,22/09/2020,,Attiva,S.R.L.
7029.,EASYGO S.R.L.,IT02836790903,02836790903,SS0208540,02836790903,"VIA GIUSEPPE MAZZINI, 78",Sassari,07041,Sardegna,,,,,620100,29/07/2020,,Attiva,S.R.L.
7030.,EXOS S.R.L.,IT02830020901,02830020901,SS0208012,02830020901,"VIA CARSO, 25/C",Sassari,07100,Sardegna,VIA CARSO 25/C,Sassari,07100,SARDEGNA,325030,04/06/2020,,Attiva,S.R.L.
7031.,RELICTA S.R.L.,IT02819960903,02819960903,SS0207166,02819960903,"VIA ROCKFELLER, 54",Sassari,07100,Sardegna,,,,,201600,11/02/2020,,Attiva,S.R.L.
7032.,MOOVET S.R.L.,IT02807790908,02807790908,SS0206207,02807790908,"VIA SALVATORE MARRAS, 7/B",Sassari,07100,Sardegna,,,,,474100,11/11/2019,,Attiva,S.R.L.
7033.,SGM PROCESSING S.R.L. (STARTUP COSTITUITA A NORMA DELL'ARTICOLO 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N. 3),IT02800330900,02800330900,SS0205674,02800330900,"VIA ROMA, 144/B",Sassari,07100,Sardegna,,,,,620909,06/08/2019,,Attiva,S.R.L.
7034.,DOBLES S.R.L.,IT02115380897,02115380897,SR0459585,02115380897,"VLE TERACATI, 196/A",Siracusa,96100,Sicilia,,,,,479110,04/08/2023,,Attiva,S.R.L.
7035.,EURORACCORDI S.R.L.,IT02095230898,02095230898,SR0453169,02095230898,"VIA DON LUIGI STURZO, 6",Siracusa,96019,Sicilia,,,,,242020,12/12/2022,,Attiva,S.R.L.
7036.,REROAD S.R.L.,IT02052560899,02052560899,SR0438824,02052560899,"VIA ANGELO BLANCO, 2",Siracusa,96010,Sicilia,,,,,221909,28/04/2021,,Attiva,S.R.L.
7037.,AFFITTOMOBILI S.R.L.,IT01563530110,01563530110,SP0237098,01563530110,"VIA 20 SETTEMBRE, 18",La Spezia,19121,Liguria,,,,,772990,12/10/2023,,Attiva,S.R.L.
7038.,THE VELVET KNIFE S.R.L.,IT01547410116,01547410116,SP0232606,01547410116,"VIA AURELIA PISA, 248",La Spezia,19038,Liguria,,,,,631200,24/10/2022,,Attiva,S.R.L.
7039.,5 TERRE GREEN CAT SRL,IT01524320114,01524320114,SP0225708,01524320114,"LOC CROCE, 4",La Spezia,19016,Liguria,,,,,721909,03/05/2021,,Attiva,S.R.L.
7040.,GAIAH SILVER S.R.L.,IT01076040144,01076040144,SO0080876,01076040144,"VIA RIVOLTA, 36",Sondrio,23017,Lombardia,,,,,620100,08/09/2023,,Attiva,S.R.L.
7041.,AGRIN4GRAZE S.R.L.,IT01062100142,01062100142,SO0079797,01062100142,"LGO SINDELFINGEN, 23",Sondrio,23100,Lombardia,,,,,620200,11/04/2022,,Attiva,S.R.L.
7042.,"F.M.T. S.R.L. (START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015, N.3)",IT01046370142,01046370142,SO0078702,01046370142,"VIA A.GIUSSANI, 13",Sondrio,23037,Lombardia,,,,,282129,12/01/2021,,Attiva,S.R.L.
