Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
GetNut,https://www.crunchbase.com/organization/getnut,Private,For Profit,"Document Management, Email, Security, Software",1-10,"Rome, Lazio, Italy","3,340,151",,"3,254,057",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ernesto Giancotti, Giuliano Palombo",2,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software",,,,,,"GetNut operates in the IT security sector, in particular in the sending, storage, and management of documents. They provide the market with a solution that certifies all the elements of communication: identity of sender and recipient; protection from external attacks; and authenticity of even large attachments.",,info@getnut.it,,https://getnut.it,,,,,2018-01-01,year,Active,GetNut is a platform that offers secure mailing system.,,184,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Getyourclinic.com,https://www.crunchbase.com/organization/clinichop-com,Private,For Profit,"Medical, Travel",1-10,"Milan, Lombardia, Italy","1,539,434",,"1,482,762",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sefa Saglam,1,"Health Care, Travel and Tourism",,,,,,Medical travel search,,Contact@getyourclinic.com,,https://www.getyourclinic.com,,,,,2021-01-31,day,Active,Medical Tourism Travel,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Giardina Consulting,https://www.crunchbase.com/organization/giardina-consulting,Private,For Profit,"Advice, Consulting, Real Estate",1-10,"Milan, Lombardia, Italy","1,031,043",,"984,243",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Media and Entertainment, Professional Services, Real Estate",,,,,,,,info@giardinaconsulting.com,https://www.linkedin.com/company/giardina-consulting,https://www.giardinaconsulting.com,,,,,2018-01-01,year,Active,Giardina Consulting offers real estate and ICT consulting services for small and medium-sized companies.,,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gibbi,https://www.crunchbase.com/organization/gibbi,Private,,,1-10,"Rome, Lazio, Italy","3,560,565",,"3,467,913",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaetano Buglisi,1,,,,,,,,,,https://www.linkedin.com/company/gibbisrl/,,,,,,2018-01-01,year,Active,Gibbi is a consulting firm.,,192,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gibeon Partners,https://www.crunchbase.com/organization/gibeon-partners,Private,For Profit,,1-10,"Milan, Lombardia, Italy","1,349,655",,"1,296,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Ahmad,1,,,,,,,,+39 02 8717 7147,info@gibeonpartners.com,https://www.linkedin.com/company/gibeon-partners/,https://www.gibeonpartners.com/,,,,,2018-03-01,month,Active,Independent investment and advisory firm focused on Italian non-performing loans and real estate special situations,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ginnibo,https://www.crunchbase.com/organization/ginnibo,Private,For Profit,"Children, E-Commerce, Retail",1-10,"Milan, Lombardia, Italy","2,461,002",,"2,390,600",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle",,,,,,,,info@ginnibo.com,,https://www.ginnibo.com,,,,,2018-06-28,day,Active,Ginnibo is an online shopping website that specializes in a wide range of kids' clothes.,Less than $1M,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gioda Consulting,https://www.crunchbase.com/organization/gioda-consulting,Private,For Profit,"Consulting, Finance, Management Consulting, Training",1-10,"Milan, Lombardia, Italy","2,560,559",,"2,488,762",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giorgio Borgonovo,1,"Education, Financial Services, Professional Services",,,,,,,+39-348-80-67-955,hello@gioda.consulting,https://www.linkedin.com/company/giodaconsulting/,https://gioda.consulting,,,,,2020-01-01,year,Active,Gioda Consulting is an advisory firm that provides training and management consulting services for organizations.,Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Giomi Group,https://www.crunchbase.com/organization/giomi-group,Private,For Profit,"Health Diagnostics, Manufacturing, Medical, Medical Device, Pharmaceutical",501-1000,"Rome, Lazio, Italy","3,331,808",,"3,245,950",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Health Care, Manufacturing",,,,,,,39-5550381,,https://www.linkedin.com/company/giomi-home/,https://www.giomihome.com,,,,,2020-01-01,year,Active,Giomi Group specializes in providing telemedicine services and the generation of compact multifunction devices for diagnosis.,$100M to $500M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Giornale Radio,https://www.crunchbase.com/organization/giornale-radio,Private,For Profit,"Internet Radio, News, Podcast",11-50,"Milan, Lombardia, Italy","1,511,660",,"1,455,418",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniele Biacchessi,1,"Content and Publishing, Media and Entertainment, Music and Audio",,,,,,,+39 023-597-1400,info@giornaleradio.fm,,https://giornaleradio.fm,,,,,2020-01-01,year,Active,"Giornale Radio is a radio station that broadcasts politics, world, sports, business, health, and technology news.",$1M to $10M,20159,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GiroCredito,https://www.crunchbase.com/organization/girocredito,Private,For Profit,"Consulting, Credit, Financial Services",1-10,"Milan, Lombardia, Italy","1,795,160",,"1,734,424",,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Professional Services",,,,,,,+39 028-716-5341,servizioclienti@girocredito.it,https://www.linkedin.com/company/girocredito/,https://girocredito.it/,,,,,2021-01-01,year,Active,"GiroCredito is a financial firm that provides tax returns, credit, consulting, and payment services.",,Lombardy,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Glamour Cosmetics,https://www.crunchbase.com/organization/glamour-cosmetics,Private,For Profit,"Beauty, Cosmetics",1-10,"Milan, Lombardia, Italy","1,758,167",,"1,698,006",,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Goods,,,,,,"Glamor Cosmetics is specializing in products for making cosmetics, make-up, and perfumes at both individuals and professionals.",+39 02 928 539 95,customerservice@glamourcosmetics.it,https://linkedin.com/company/glamourcosmetics/,https://www.glamourcosmetics.it/,,,,,2018-01-01,year,Active,Glamour Cosmetics is a cosmetics company.,$1M to $10M,20132,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Glint,https://www.crunchbase.com/organization/glint-5e3e,Private,For Profit,"Advertising, Brand Marketing, Web Design",11-50,"Milan, Lombardia, Italy","1,317,445",,"1,264,579",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Design, Sales and Marketing",,,,,,,+39 338 3667157,info@glintcompany.com,https://www.linkedin.com/company/glintcompany/,https://www.glintcompany.com/,,,,,2019-01-01,year,Active,"Glint is an advertising company that offers web design, content, website creation, online shop management, and marketing services.",,20143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Global Assicurazioni,https://www.crunchbase.com/organization/global-assicurazioni,Private,For Profit,"Commercial Insurance, Financial Services, Insurance, Wealth Management",11-50,"Milan, Lombardia, Italy","2,582,139",,"2,510,018",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Services,,,,,,,+39 389 492 1043,globalassicurazioni2020@gmail.com,https://www.linkedin.com/company/global-assicurazioni-s-p-a-/,http://www.globalassicurazioni.it/Pagine/IT/homepage.aspx,,,,,2018-01-01,year,Active,Global Assicurazioni is an insurance company specialized in bancassurance and insurance wealth management.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Global Executive Search,https://www.crunchbase.com/organization/global-executive-search,Private,For Profit,"Association, Business Development, Consulting, Human Resources",51-100,"Milan, Lombardia, Italy","3,142,388",,"3,060,841",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Bombardini,1,"Administrative Services, Other, Professional Services",,,,,,,+0039 028 719 9937,info@globalexecutivesearch.net,https://www.linkedin.com/company/global-executive-search-network,https://globalexecutivesearch.net,,,,,2019-01-01,year,Active,Global Executive Search is an executive search firm that offers management audits and board member search services.,$1M to $10M,20125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Glooconn,https://www.crunchbase.com/organization/glooconn,Private,For Profit,"Apps, Information Technology, Internet, Mobile, Mobile Apps, Software",1-10,"Milan, Lombardia, Italy","3,740,442",,"3,641,827",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shehan De Silva,1,"Apps, Information Technology, Internet Services, Mobile, Software",,,,,,"Glooconn was established in 2018 by Shehan De Silva, Glooconn has come a long way from its beginnings in Milan,Italy.Our Main Aim is Solve Your day today life problems. Whatever you Need. Find Any Service In Under 1 Minute. Quick Solutions from Glooconn's greatest professional service providers",+393517039334,glooconn@gmail.com,https://www.linkedin.com/company/glooconn/,https://glooconn.com/,,none,,,2018-10-05,day,Closed,Whatever you Need. Find Any Service In Under 1 Minute. Quick Solutions from Glooconn's greatest professional service providers,,20146,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Glucotrust,https://www.crunchbase.com/organization/glucotrust-f455,Private,Non-profit,"Consumer Goods, Dietary Supplements, Retail",1-10,"Rome, Lazio, Italy","1,961,045",,"1,897,844",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Food and Beverage, Health Care",,,,,,GlucoTrust  There is an essential advantage although it's so lackluster it hurts. It isn't saying a lot. Grownups are afraid to take risks at moments of difficult change in GlucoTrust. This just appears to make sense to me. It is the hidden concept behind GlucoTrust. Most mobs have no hypothesis and will do it on their own. GlucoTrust is sort of a pink elephant.  VISIT HERE OFFICIAL WEBSITE:- https://drromanoff.com/glucotrust-review/,,,,https://drromanoff.com/glucotrust-review/,,,,,2022-01-01,day,Active,GlucoTrust is a dietary supplement that empowers circling glucose ranges and promoting health and well being.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GoBiz,https://www.crunchbase.com/organization/gobiz-14d4,Private,For Profit,"Artificial Intelligence (AI), B2B, Blockchain",1-10,"Rome, Lazio, Italy","1,150,963",,"1,101,382",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software",,,,,,"GoBiz is a digital management platform that makes use of technologies like Blockchain and AI to allow B2B trade in goods and services between micro, small, and medium-sized businesses.",,,https://www.linkedin.com/company/gobiz-be,https://gobiz.company,,,,,2019-01-01,year,Active,GoBiz is a digital platform that uses artificial intelligence and blockchain.,,195,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Good.to.it,https://www.crunchbase.com/organization/good-to-it,Private,For Profit,"Food and Beverage, Nutrition, Wellness",1-10,"Turin, Piemonte, Italy","3,757,642",,"3,658,395",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Food and Beverage, Health Care",,,,,,"Good.to.it is a modular meal consisting of the prevalence of a macronutrient like carbohydrates, proteins, or lipids. Their virtual nutrition coach calculates energy needs based on anthropometric data and physical goals.",,hello@good.to.it,https://www.linkedin.com/company/good-to-it/,https://good.to.it,,,,,2020-01-01,year,Active,Good.to.it is a modular meal consisting of the prevalence of a macronutrient,Less than $1M,10138,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Goodies,https://www.crunchbase.com/organization/goodies-5671,Private,For Profit,"Brand Marketing, Digital Marketing, Graphic Design",1-10,"Rome, Lazio, Italy","3,192,147",,"3,109,583",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Matera,1,"Design, Sales and Marketing",,,,,,,,hello@goodiesimages.com,https://www.linkedin.com/company/goodiesimages/,https://www.goodiesimages.com,,,,,2020-01-01,year,Active,"Goodies is a digital marketing company that provides graphic design, brand campaign solutions, and motion design services.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Goodwool,https://www.crunchbase.com/organization/goodwool,Private,For Profit,"Automotive, Electric Vehicle, Marketing",1-10,"Milan, Lombardia, Italy","2,609,381",,"2,536,886",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sales and Marketing, Transportation",,,,,,Goodwool and technological materials are used to make the seat cover. By both fulfilling the aesthetic needs and protecting the priceless car bespoke products strike the ideal mix between elegance and performance. The finest guardian of the love good wool provides a variety of premium protective cloth coverings for classic and end vehicles that are carefully tailored in good standard and distinctly unique in both design and material used. Wool's key nature offer the optimal microclimate for protecting the priceless car from moisture. The technical fabric and alpine wool allow us to perfectly sculpt the lines and unique paint of the car.,+39 3401844177,info@goodwool.it,https://www.linkedin.com/company/goodwool-srl/,https://goodwool.it,,,,,2018-01-01,year,Active,Goodwool offers cloth covers for vintage and luxury cars.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gotaway,https://www.crunchbase.com/organization/gotaway,Private,For Profit,"Delivery Service, Logistics, Outsourcing, Warehousing",51-100,"Brescia, Lombardia, Italy","2,446,195",,"2,376,006",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professional Services, Transportation",,,,,,,,,https://www.linkedin.com/company/gotaway-italia/,https://www.gotaway.it,,,,,2019-01-01,year,Active,"Gotaway specializes in logistics, outsourcing, and warehouse management services.",,25124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GP2,https://www.crunchbase.com/organization/gp2-8098,Private,For Profit,"Construction, Infrastructure, Test and Measurement",1-10,"Brescia, Lombardia, Italy","3,447,012",,"3,357,893",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data and Analytics, Other, Real Estate",,,,,,GP2 operates in the field of monitoring the safety of road and real estate infrastructures. They provide safety monitoring systems for infrastructural work. An online inquiry form is available on the company's website.,+39 0364 195 2197,info@gp2.info,https://www.linkedin.com/company/gp2-italy,https://gp2.info,,,,,2019-01-01,year,Active,GP2 provides safety monitoring systems for industrial infrastructure.,,25050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GPO,https://www.crunchbase.com/organization/gpo-4a60,Private,For Profit,"Consulting, Health Care, Mental Health, Therapeutics",251-500,"Milan, Lombardia, Italy","1,643,446",,"1,585,041",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauro Bear,1,"Health Care, Professional Services",,,,,,,,info@glipsicologionline.it,https://www.linkedin.com/company/gli-psicologi-online/,https://glipsicologionline.it/,,,,,2020-01-01,year,Active,"GPO is an online portal that provides a broad range of online psychological support, mental healthcare, and therapy services.",Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GR Value,https://www.crunchbase.com/organization/gr-value,Private,For Profit,"Clean Energy, Renewable Energy, Solar",11-50,"Milan, Lombardia, Italy","639,510",,"604,751",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franco Bogoni, Gianluca Veneroni",2,"Energy, Natural Resources, Sustainability",,,,,,,+39 02.50043159,info@grvalue.com,https://www.linkedin.com/company/gr-value/,https://www.grvalue.com/,,,,,2018-01-01,year,Active,GR Value is a solar energy company that provides the production of clean energy and plant management services.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Grace Consulting,https://www.crunchbase.com/organization/grace-consulting-8e5f,Private,For Profit,"Business Development, Consulting, Corporate Training",1-10,"Brescia, Lombardia, Italy","2,561,370",,"2,489,558",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Professional Services",,,,,,,39-8335-42419,info@graceconsulting.it,https://www.linkedin.com/company/grace-consulting-snc,https://www.graceconsulting.it,,,,,2021-01-01,year,Active,Grace Consulting is a corporate training and consultancy firm that specializes in the development of business management systems.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gran Tour in Sicily,https://www.crunchbase.com/organization/gran-tour-in-sicily,Private,For Profit,"Management Consulting, Tourism, Travel",1-10,"Palermo, Sicilia, Italy","1,294,791",,"1,242,347",,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professional Services, Travel and Tourism",,,,,,"Gran Tour in Sicily is a travel agency company that offers corporate event, driving tours on board of porsche, and hill climb experience services.",+39 091 9102250,info@gtsicily.com,https://www.linkedin.com/company/gts-gran-tour-in-sicily,https://www.gtsicily.com,,,,,2018-01-01,year,Active,Gran Tour in Sicily is a destination management company that provides travel arrangements.,,90144,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Grand Challenges Energy Lab,https://www.crunchbase.com/organization/grand-challenges-energy-lab,Private,For Profit,"Energy, Industrial, Sustainability",,"Rome, Lazio, Italy","1,986,182",,"1,922,615",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giulio Lo Re,1,"Energy, Manufacturing, Sustainability",,,,,,,,,,https://www.gcenergylab.it/,,,,,2022-07-11,day,Active,Grand Challenges Energy Lab is a company that offers consulting and technical services in the renewable energy transition.,,52 00198,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gravity,https://www.crunchbase.com/organization/gravity-a837,Private,For Profit,"Advertising, Content, Graphic Design, Quality Assurance, UX Design, Web Design",1-10,"Milan, Lombardia, Italy","2,226,607",,"2,159,516",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Design, Media and Entertainment, Professional Services, Sales and Marketing",,,,,,,+39 329 44 66 234,info@gravityagency.co,,https://gravityagency.co,,,,,2019-08-05,day,Active,"Gravity is a digital agency that offers web design, content, UX design, data analysis, marketing, and quality assurance services.",Less than $1M,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GreenEco Wastewater,https://www.crunchbase.com/organization/greeneco-wastewater,Private,For Profit,"Environmental Consulting, Waste Management, Water Purification",11-50,"Turin, Piemonte, Italy","1,426,075",,"1,371,265",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniele Priarone,1,"Professional Services, Sustainability",,,,,,,+39 0143 822 882,info@greeneco-wastewater.com,https://www.linkedin.com/company/greeneco-wastewater/,https://greeneco-wastewater.com/,,,,,2019-01-01,year,Active,GreenEco Wastewater is a water purification company that designs and constructs purification plants and water treatment services.,,10221,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GREENEXT Technologies,https://www.crunchbase.com/organization/greenext-technologies,Private,For Profit,"Compliance, Consulting, Information Technology, Waste Management",501-1000,"Turin, Piemonte, Italy","900,446",,"857,014",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Professional Services, Sustainability",,,,,,"GREENEXT Technologies S.p.A. specializes in providing innovative solutions for waste management. Leveraging technology inherited from the Viasat Group, the company focuses on the future of waste management by offering services that include waste tracking, management solutions, and compliance with regulatory requirements. With a commitment to environmental sustainability, GREENEXT Technologies aims to enhance the efficiency of waste management processes for businesses and municipalities. The company's expertise in cloud-native architectures enables it to solve complex challenges in waste management, making it a partner for entities looking to improve their waste handling and reduce environmental impact.",+39 800 973 028,info@greenext.it,https://www.linkedin.com/company/greenext-technologies,https://greenext.it,,,,,2021-01-01,year,Active,GREENEXT Technologies S.p.A. offers tech solutions for efficient waste management and regulatory compliance.,,10121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Greenlife-exim,https://www.crunchbase.com/organization/greenlife-exim,Private,For Profit,"Recycling, Retail, Sustainability, Wholesale",1-10,"Brescia, Lombardia, Italy","3,490,436",,"3,400,026",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Sustainability",,,,,,,+39-328-888-8396,bs.greenlife@gmail.com,https://www.linkedin.com/company/greenlife-exim-srl/,https://greenlife-exim.it/,,,,,2021-01-01,year,Active,"Greenlife-exim is a wholesale company that offers a wide range of plastic-free, reuse, and green decorations products for homes.",,25125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Greenmeal,https://www.crunchbase.com/organization/greenmeal,Private,For Profit,"Catering, E-Commerce, Food and Beverage, Mobile Apps",,"Milan, Lombardia, Italy","2,403,468",,"2,333,840",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pietro Magnifico, Riccardo Maria Pozzi",2,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software",,,,,,,,info@greenmeal.io,https://www.linkedin.com/company/greenmeal-io/about/,http://greenmeal.it,,,,,2021-10-22,day,Active,Greenmeal is an e-commerce company that provides catering and food delivery services for restaurants.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Greenteam,https://www.crunchbase.com/organization/greenteam-6ec1,Private,For Profit,"Biofuel, Energy, Renewable Energy",,"Milan, Lombardia, Italy","3,121,185",,"3,040,049",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability",,,,,,"Greenteam develops 40 plants for the production of biomethane from organic materials. They provide virtuous models of local, sustainable, circular economies that produce well-being and growth opportunities.",,info@greenteam.dev,,https://www.greenteam.dev,,,,,2020-01-01,year,Active,Greenteam is a development of plants for the production of energy from renewable sources and bio-fuels.,,20139,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gremove,https://www.crunchbase.com/organization/gremove,Private,For Profit,"Media and Entertainment, Sustainability, Trade Shows",1-10,"Milan, Lombardia, Italy","998,852",,"952,815",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Media and Entertainment, Sustainability",,,,,,"Gremove creates awareness in the consumer on the various aspects of sustainable mobility through the use of digital tools. They are implemented in different sectors, such as mobility, design, and education. Their entertainment mechanisms such as gaming and promotions.",,info@gremove.com,https://www.linkedin.com/company/gremove/,https://www.gremove.com,,,,,2019-01-01,year,Active,Gremove is a sustainable technological development company.,,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GRLS,https://www.crunchbase.com/organization/grls,Private,For Profit,"Artificial Intelligence (AI), Human Resources, Recruiting, Women's",1-10,"Milan, Lombardia, Italy","815,688",,"774,788",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Professional Services, Science and Engineering, Software",,,,,,,,ciao@grls.it,https://www.linkedin.com/company/grls-it/,https://grls.it,,,,,2021-10-01,month,Active,Saas Platform to boost diversity in the workplace.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gruppo Animalia,https://www.crunchbase.com/organization/gruppo-animalia,Private,For Profit,"Health Care, Medical, Veterinary",251-500,"Milan, Lombardia, Italy","808,888",,"768,190",,,9,,,,,,,,,,,,,,Acquisition,,,,2024-07-03,day,Charme Capital Partners,https://www.crunchbase.com/organization/charme-capital-partners,Gruppo Animalia acquired by Charme Capital Partners,https://www.crunchbase.com/acquisition/charme-capital-partners-acquires-gruppo-animalia--0aba4306,Was Acquired,,,,,,,,,,,,,,,,,M&A,,,,Health Care,,,,,,"Gruppo Animalia is a group of excellent veterinary facilities with a common vision and values. Its mission is to provide patients and clients with a complete, professional, and more efficient service.",+39 02 3823 1743,info@animalia.care,https://www.linkedin.com/company/animalia-italia,https://www.gruppoanimalia.it,,,2024-07-03,day,2019-01-01,year,Active,Gruppo Animalia is a group of excellent veterinary facilities that share a common vision and values.,,20149,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gruppo BCC Iccrea,https://www.crunchbase.com/organization/gruppo-bcc-iccrea,Private,For Profit,"Banking, Finance, Financial Services",10001+,"Rome, Lazio, Italy","1,415,941",,"1,361,311",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,,,,,(39) 06 72071,iccreabanca@pec.iccreabanca.it,https://www.linkedin.com/company/gruppobcciccrea,https://www.gruppobcciccrea.it,,,,,2019-03-04,day,Active,Gruppo BCC Iccrea is an Italian cooperative banking group that offers banking products and financial services.,$100M to $500M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gruppo Editoriale MAGOG,https://www.crunchbase.com/organization/gruppo-editoriale-magog,Private,For Profit,"Journalism, News, Publishing",11-50,"Rome, Lazio, Italy","2,762,477",,"2,687,711",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",,,,,,,,info@gruppomagog.it,https://www.linkedin.com/company/gruppo-editoriale-magog/,https://www.gruppomagog.it,,,,,2021-01-01,year,Active,"Gruppo Editoriale MAGOG is an editorial group that unites newspapers, publishing, training schools, festivals, and magazines.",$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gruppo Futura,https://www.crunchbase.com/organization/gruppo-futura,Private,For Profit,"Consulting, Energy, Training",1-10,"Rome, Lazio, Italy","2,166,763",,"2,100,558",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Energy, Professional Services",,,,,,,,,,http://www.gruppofuturasrl.it/,,,,,2018-05-14,day,Active,Gruppo Futura provides consulting and training solutions to the energy sector firms that expertise in distribution and management service.,$1M to $10M,198,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gruppo Immobiliare Impera,https://www.crunchbase.com/organization/gruppo-immobiliare-impera,Private,For Profit,"Commercial, Real Estate, Residential",11-50,"Bari, Puglia, Italy","1,995,854",,"1,932,142",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other, Real Estate",,,,,,,+39 080 914 7110,info@gruppoimmobiliareimpera.it,https://www.linkedin.com/company/gruppo-immobiliare-impera,https://www.gruppoimmobiliareimpera.it,,,,,2019-01-01,year,Active,Gruppo Immobiliare Impera is a real estate agency that offers residential and commercial services.,$1M to $10M,70121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
